accuracy,brier,dataset,delta_star,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.8937924345295829,0.18987065819252158,coauthor_cs,,,0.09263375295627824,0.0,0.791992089143297,matcha,0.4726196527481079,0.47454470000229776,0,clean
0.8967022308438409,0.18353307831796814,coauthor_cs,0.10831746120452881,False,0.0839727113870714,0.0,0.7980028224003514,full_method,0.4552857279777527,15.17076029999589,0,clean
0.8748787584869059,0.2353536743243122,coauthor_cs,,,0.14127171140753103,0.15,0.7698305135432367,source_only,0.591238260269165,0.0,0,edge_drop
0.8981571290009699,0.15882543956788245,coauthor_cs,,,0.04445157543359512,0.15,0.8035762737641949,tent,0.3922294080257416,0.3025086999987252,0,edge_drop
0.8782735208535403,0.2058210848581958,coauthor_cs,,,0.07403343436095926,0.15,0.7701403996958595,eata,0.520661473274231,0.5340963999988162,0,edge_drop
0.8903976721629486,0.19206026697201323,coauthor_cs,,,0.08628493208514036,0.15,0.7845256033784508,matcha,0.4747695028781891,0.4396485000033863,0,edge_drop
0.8928225024248303,0.18652793451254626,coauthor_cs,0.10831746120452881,False,0.07984262828423375,0.15,0.7901448213651806,full_method,0.4593643248081207,15.499670800003514,0,edge_drop
0.8482056256062076,0.2841639191481399,coauthor_cs,,,0.16913753563662853,0.1,0.710950724183675,source_only,0.7063692808151245,0.0,0,edge_add
0.8748787584869059,0.19108440451669545,coauthor_cs,,,0.051930519603156644,0.1,0.7420903146656764,tent,0.4667668640613556,0.3721624999961932,0,edge_add
0.8525703200775946,0.23976699601574208,coauthor_cs,,,0.07237019858148697,0.1,0.7169529948001302,eata,0.6006988883018494,0.6153602999984287,0,edge_add
0.8700290979631425,0.23022402703850692,coauthor_cs,,,0.10888264060858731,0.1,0.7365568733183531,matcha,0.5668643712997437,0.5114147999993293,0,edge_add
0.8700290979631425,0.22474048951511055,coauthor_cs,0.10831746120452881,False,0.09958377724041878,0.1,0.7344393149615696,full_method,0.5518983006477356,15.245918900000106,0,edge_add
0.8608147429679922,0.24436257227751493,coauthor_cs,,,0.11650875452129039,0.0,0.7444866160609848,source_only,0.6068899035453796,0.0,1,clean
0.899612027158099,0.15054050165355384,coauthor_cs,,,0.03240032218013656,0.0,0.799056541248159,tent,0.3708885610103607,0.3050132999997004,1,clean
0.8705140640155189,0.20785782796401986,coauthor_cs,,,0.05738126651666674,0.0,0.7598312398292151,eata,0.5133582353591919,0.5366987000015797,1,clean
