accuracy,decile,deg_hi,deg_lo,ece,intensity,mean_reliability,method,n_decile,seed,selected_fraction,shift
0.9565217391304348,4,6.0,5.0,0.040693086126576294,0.35,0.431685576053089,no_degree_prior,23,4,0.39999999999999986,edge_drop
0.967741935483871,5,7.0,6.0,0.028055519826950537,0.35,1.0,source_only,31,4,1.0,edge_drop
0.967741935483871,5,7.0,6.0,0.027800411947311865,0.35,0.4203428065667257,full_method,31,4,0.39999999999999986,edge_drop
0.967741935483871,5,7.0,6.0,0.02782103515440415,0.35,0.431685576053089,no_degree_prior,31,4,0.39999999999999986,edge_drop
1.0,7,8.0,7.0,0.07726530943598066,0.35,1.0,source_only,14,4,1.0,edge_drop
1.0,7,8.0,7.0,0.0664575525692531,0.35,0.4203428065667257,full_method,14,4,0.39999999999999986,edge_drop
1.0,7,8.0,7.0,0.06678488424846103,0.35,0.431685576053089,no_degree_prior,14,4,0.39999999999999986,edge_drop
1.0,8,10.0,8.0,0.016163524985313416,0.35,1.0,source_only,20,4,1.0,edge_drop
1.0,8,10.0,8.0,0.014371865987777711,0.35,0.4203428065667257,full_method,20,4,0.39999999999999986,edge_drop
1.0,8,10.0,8.0,0.014401298761367799,0.35,0.431685576053089,no_degree_prior,20,4,0.39999999999999986,edge_drop
1.0,9,13.0,10.0,0.006662487983703613,0.35,1.0,source_only,9,4,1.0,edge_drop
1.0,9,13.0,10.0,0.0050972700119018555,0.35,0.4203428065667257,full_method,9,4,0.39999999999999986,edge_drop
1.0,9,13.0,10.0,0.0051386356353759766,0.35,0.431685576053089,no_degree_prior,9,4,0.39999999999999986,edge_drop
0.8333333333333334,0,9.0,3.0,0.1490120192368825,0.35,1.0,source_only,24,4,1.0,edge_add
0.8333333333333334,0,9.0,3.0,0.09662835796674091,0.35,0.415805446510742,full_method,24,4,0.39999999999999986,edge_add
0.8333333333333334,0,9.0,3.0,0.09682831664880114,0.35,0.4163295036916523,no_degree_prior,24,4,0.39999999999999986,edge_add
1.0,1,10.0,9.0,0.03423419967293739,0.35,1.0,source_only,16,4,1.0,edge_add
1.0,1,10.0,9.0,0.03152759373188019,0.35,0.415805446510742,full_method,16,4,0.39999999999999986,edge_add
1.0,1,10.0,9.0,0.03145550563931465,0.35,0.4163295036916523,no_degree_prior,16,4,0.39999999999999986,edge_add
1.0,2,11.0,10.0,0.06344836408441717,0.35,1.0,source_only,22,4,1.0,edge_add
1.0,2,11.0,10.0,0.0655884932387959,0.35,0.415805446510742,full_method,22,4,0.39999999999999986,edge_add
1.0,2,11.0,10.0,0.06545831669460643,0.35,0.4163295036916523,no_degree_prior,22,4,0.39999999999999986,edge_add
0.9583333333333334,3,12.0,11.0,0.08569811036189397,0.35,1.0,source_only,24,4,1.0,edge_add
0.9583333333333334,3,12.0,11.0,0.0745025450984637,0.35,0.415805446510742,full_method,24,4,0.39999999999999986,edge_add
0.9583333333333334,3,12.0,11.0,0.07495095084110896,0.35,0.4163295036916523,no_degree_prior,24,4,0.39999999999999986,edge_add
0.8947368421052632,5,13.0,12.0,0.08810383551999142,0.35,1.0,source_only,19,4,1.0,edge_add
0.8947368421052632,5,13.0,12.0,0.0901597079477812,0.35,0.415805446510742,full_method,19,4,0.39999999999999986,edge_add
0.8947368421052632,5,13.0,12.0,0.09004512586091692,0.35,0.4163295036916523,no_degree_prior,19,4,0.39999999999999986,edge_add
0.9285714285714286,6,14.0,13.0,0.09481183120182582,0.35,1.0,source_only,14,4,1.0,edge_add
0.9285714285714286,6,14.0,13.0,0.11588394216128757,0.35,0.415805446510742,full_method,14,4,0.39999999999999986,edge_add
0.9285714285714286,6,14.0,13.0,0.11635278378214155,0.35,0.4163295036916523,no_degree_prior,14,4,0.39999999999999986,edge_add
1.0,7,16.0,14.0,0.05088914558291435,0.35,1.0,source_only,16,4,1.0,edge_add
1.0,7,16.0,14.0,0.042319223284721375,0.35,0.415805446510742,full_method,16,4,0.39999999999999986,edge_add
1.0,7,16.0,14.0,0.042625367641448975,0.35,0.4163295036916523,no_degree_prior,16,4,0.39999999999999986,edge_add
1.0,8,18.0,16.0,0.030342661672168307,0.35,1.0,source_only,18,4,1.0,edge_add
1.0,8,18.0,16.0,0.023639341195424397,0.35,0.415805446510742,full_method,18,4,0.39999999999999986,edge_add
1.0,8,18.0,16.0,0.023744702339172363,0.35,0.4163295036916523,no_degree_prior,18,4,0.39999999999999986,edge_add
1.0,9,24.0,18.0,0.04577551782131195,0.35,1.0,source_only,12,4,1.0,edge_add
1.0,9,24.0,18.0,0.03770278890927632,0.35,0.415805446510742,full_method,12,4,0.39999999999999986,edge_add
1.0,9,24.0,18.0,0.038149118423461914,0.35,0.4163295036916523,no_degree_prior,12,4,0.39999999999999986,edge_add
0.8636363636363636,0,6.0,2.0,0.07754070108587091,0.25,1.0,source_only,22,4,1.0,homophily_shift
0.8636363636363636,0,6.0,2.0,0.10265662182461131,0.25,0.40629463150062517,full_method,22,4,0.39999999999999986,homophily_shift
0.8636363636363636,0,6.0,2.0,0.1026455434885892,0.25,0.40236215758985666,no_degree_prior,22,4,0.39999999999999986,homophily_shift
0.7619047619047619,1,7.0,6.0,0.14439937614259268,0.25,1.0,source_only,21,4,1.0,homophily_shift
0.7619047619047619,1,7.0,6.0,0.16904394399552117,0.25,0.40629463150062517,full_method,21,4,0.39999999999999986,homophily_shift
0.7619047619047619,1,7.0,6.0,0.13896123426301138,0.25,0.40236215758985666,no_degree_prior,21,4,0.39999999999999986,homophily_shift
0.9130434782608695,2,8.0,7.0,0.08509349563847417,0.25,1.0,source_only,23,4,1.0,homophily_shift
0.9130434782608695,2,8.0,7.0,0.12927962904391083,0.25,0.40629463150062517,full_method,23,4,0.39999999999999986,homophily_shift
0.9130434782608695,2,8.0,7.0,0.12935885657434879,0.25,0.40236215758985666,no_degree_prior,23,4,0.39999999999999986,homophily_shift
0.8260869565217391,4,9.0,8.6,0.14317860292351764,0.25,1.0,source_only,23,4,1.0,homophily_shift
0.8260869565217391,4,9.0,8.6,0.10965851338013358,0.25,0.40629463150062517,full_method,23,4,0.39999999999999986,homophily_shift
0.8260869565217391,4,9.0,8.6,0.10948755430138629,0.25,0.40236215758985666,no_degree_prior,23,4,0.39999999999999986,homophily_shift
0.8666666666666667,5,10.0,9.0,0.1929680506388346,0.25,1.0,source_only,15,4,1.0,homophily_shift
0.8,5,10.0,9.0,0.19319226344426468,0.25,0.40629463150062517,full_method,15,4,0.39999999999999986,homophily_shift
0.8,5,10.0,9.0,0.1930304606755574,0.25,0.40236215758985666,no_degree_prior,15,4,0.39999999999999986,homophily_shift
0.8333333333333334,6,11.0,10.0,0.1710866987705231,0.25,1.0,source_only,18,4,1.0,homophily_shift
0.8333333333333334,6,11.0,10.0,0.12127539515495303,0.25,0.40629463150062517,full_method,18,4,0.39999999999999986,homophily_shift
0.8333333333333334,6,11.0,10.0,0.12096303039126928,0.25,0.40236215758985666,no_degree_prior,18,4,0.39999999999999986,homophily_shift
0.9090909090909091,7,12.0,11.0,0.161976770921187,0.25,1.0,source_only,11,4,1.0,homophily_shift
0.9090909090909091,7,12.0,11.0,0.16262484680522576,0.25,0.40629463150062517,full_method,11,4,0.39999999999999986,homophily_shift
0.9090909090909091,7,12.0,11.0,0.16248768568038943,0.25,0.40236215758985666,no_degree_prior,11,4,0.39999999999999986,homophily_shift
0.8947368421052632,8,14.0,12.0,0.12162342824433978,0.25,1.0,source_only,19,4,1.0,homophily_shift
0.8947368421052632,8,14.0,12.0,0.15259218843359695,0.25,0.40629463150062517,full_method,19,4,0.39999999999999986,homophily_shift
0.8947368421052632,8,14.0,12.0,0.1522690622430099,0.25,0.40236215758985666,no_degree_prior,19,4,0.39999999999999986,homophily_shift
0.7692307692307693,9,19.0,14.0,0.1722968174861028,0.25,1.0,source_only,13,4,1.0,homophily_shift
0.7692307692307693,9,19.0,14.0,0.17636362405923697,0.25,0.40629463150062517,full_method,13,4,0.39999999999999986,homophily_shift
0.7692307692307693,9,19.0,14.0,0.176058081480173,0.25,0.40236215758985666,no_degree_prior,13,4,0.39999999999999986,homophily_shift
