accuracy,debiased,ece,intensity,method,n_bins,seed,shift
0.9636363636363636,False,0.0394427245313471,0.35,full_method,20,0,edge_add
0.9636363636363636,True,0.03913969422831679,0.35,full_method,20,0,edge_add
0.9636363636363636,False,0.04066696058620106,0.35,full_method,25,0,edge_add
0.9636363636363636,True,0.04042453634377682,0.35,full_method,25,0,edge_add
0.793939393939394,False,0.0748123400139086,0.25,source_only,5,0,homophily_shift
0.793939393939394,True,0.0736002188017874,0.25,source_only,5,0,homophily_shift
0.793939393939394,False,0.07481236223018534,0.25,source_only,10,0,homophily_shift
0.793939393939394,True,0.07420630162412473,0.25,source_only,10,0,homophily_shift
0.793939393939394,False,0.08187840165513931,0.25,source_only,15,0,homophily_shift
0.793939393939394,True,0.0814743612510989,0.25,source_only,15,0,homophily_shift
0.793939393939394,False,0.0764050635424527,0.25,source_only,20,0,homophily_shift
0.793939393939394,True,0.0761020332394224,0.25,source_only,20,0,homophily_shift
0.793939393939394,False,0.11185371875762941,0.25,source_only,25,0,homophily_shift
0.793939393939394,True,0.11161129451520517,0.25,source_only,25,0,homophily_shift
0.793939393939394,False,0.07877312103907266,0.25,full_method,5,0,homophily_shift
0.793939393939394,True,0.07756099982695146,0.25,full_method,5,0,homophily_shift
0.793939393939394,False,0.08190411979501902,0.25,full_method,10,0,homophily_shift
0.793939393939394,True,0.08129805918895841,0.25,full_method,10,0,homophily_shift
0.793939393939394,False,0.08358790531302945,0.25,full_method,15,0,homophily_shift
0.793939393939394,True,0.08318386490898905,0.25,full_method,15,0,homophily_shift
0.793939393939394,False,0.09123907721403877,0.25,full_method,20,0,homophily_shift
0.793939393939394,True,0.09093604691100847,0.25,full_method,20,0,homophily_shift
0.793939393939394,False,0.0979135063561526,0.25,full_method,25,0,homophily_shift
0.793939393939394,True,0.09767108211372837,0.25,full_method,25,0,homophily_shift
0.6181818181818182,False,0.16643377542495724,0.5,source_only,5,0,homophily_shift
0.6181818181818182,True,0.16522165421283602,0.5,source_only,5,0,homophily_shift
0.6181818181818182,False,0.16776355053439282,0.5,source_only,10,0,homophily_shift
0.6181818181818182,True,0.1671574899283322,0.5,source_only,10,0,homophily_shift
0.6181818181818182,False,0.16984779184514825,0.5,source_only,15,0,homophily_shift
0.6181818181818182,True,0.16944375144110785,0.5,source_only,15,0,homophily_shift
0.6181818181818182,False,0.18687580300099926,0.5,source_only,20,0,homophily_shift
0.6181818181818182,True,0.18657277269796896,0.5,source_only,20,0,homophily_shift
0.6181818181818182,False,0.20379309437491677,0.5,source_only,25,0,homophily_shift
0.6181818181818182,True,0.20355067013249253,0.5,source_only,25,0,homophily_shift
0.5818181818181818,False,0.20839139223098754,0.5,full_method,5,0,homophily_shift
0.5818181818181818,True,0.20717927101886632,0.5,full_method,5,0,homophily_shift
0.5818181818181818,False,0.2085254835359978,0.5,full_method,10,0,homophily_shift
0.5818181818181818,True,0.2079194229299372,0.5,full_method,10,0,homophily_shift
0.5818181818181818,False,0.21197653214136758,0.5,full_method,15,0,homophily_shift
0.5818181818181818,True,0.21157249173732717,0.5,full_method,15,0,homophily_shift
0.5818181818181818,False,0.2154896504951246,0.5,full_method,20,0,homophily_shift
0.5818181818181818,True,0.2151866201920943,0.5,full_method,20,0,homophily_shift
0.5818181818181818,False,0.2147406218629895,0.5,full_method,25,0,homophily_shift
0.5818181818181818,True,0.21449819762056527,0.5,full_method,25,0,homophily_shift
0.9696969696969697,False,0.013896592458089213,0.0,source_only,5,1,clean
0.9696969696969697,True,0.012684471245968002,0.0,source_only,5,1,clean
0.9696969696969697,False,0.014163645831021374,0.0,source_only,10,1,clean
0.9696969696969697,True,0.013557585224960767,0.0,source_only,10,1,clean
0.9696969696969697,False,0.016232943534851104,0.0,source_only,15,1,clean
0.9696969696969697,True,0.0158289031308107,0.0,source_only,15,1,clean
0.9696969696969697,False,0.022852071848782633,0.0,source_only,20,1,clean
0.9696969696969697,True,0.02254904154575233,0.0,source_only,20,1,clean
0.9696969696969697,False,0.02339727047717935,0.0,source_only,25,1,clean
0.9696969696969697,True,0.023154846234755107,0.0,source_only,25,1,clean
0.9696969696969697,False,0.013799385590986795,0.0,full_method,5,1,clean
0.9696969696969697,True,0.012587264378865582,0.0,full_method,5,1,clean
0.9696969696969697,False,0.014273284059582314,0.0,full_method,10,1,clean
0.9696969696969697,True,0.013667223453521707,0.0,full_method,10,1,clean
0.9696969696969697,False,0.023495344682173326,0.0,full_method,15,1,clean
0.9696969696969697,True,0.023091304278132923,0.0,full_method,15,1,clean
0.9696969696969697,False,0.022331310041023063,0.0,full_method,20,1,clean
0.9696969696969697,True,0.022028279737992762,0.0,full_method,20,1,clean
0.9696969696969697,False,0.026907681696342722,0.0,full_method,25,1,clean
0.9696969696969697,True,0.02666525745391848,0.0,full_method,25,1,clean
0.9393939393939394,False,0.0318329431793907,0.45,source_only,5,1,feature_noise
0.9393939393939394,True,0.030620821967269486,0.45,source_only,5,1,feature_noise
0.9393939393939394,False,0.03183302048480868,0.45,source_only,10,1,feature_noise
0.9393939393939394,True,0.031226959878748076,0.45,source_only,10,1,feature_noise
0.9393939393939394,False,0.039370129325173094,0.45,source_only,15,1,feature_noise
0.9393939393939394,True,0.03896608892113269,0.45,source_only,15,1,feature_noise
0.9393939393939394,False,0.03676914482405689,0.45,source_only,20,1,feature_noise
0.9393939393939394,True,0.036466114521026584,0.45,source_only,20,1,feature_noise
0.9393939393939394,False,0.041551873900673594,0.45,source_only,25,1,feature_noise
0.9393939393939394,True,0.04130944965824935,0.45,source_only,25,1,feature_noise
0.9515151515151515,False,0.021892545439980204,0.45,full_method,5,1,feature_noise
0.9515151515151515,True,0.02068042422785899,0.45,full_method,5,1,feature_noise
0.9515151515151515,False,0.029443174419981087,0.45,full_method,10,1,feature_noise
0.9515151515151515,True,0.02883711381392048,0.45,full_method,10,1,feature_noise
0.9515151515151515,False,0.039233519814231156,0.45,full_method,15,1,feature_noise
0.9515151515151515,True,0.03882947941019075,0.45,full_method,15,1,feature_noise
0.9515151515151515,False,0.03751049294616234,0.45,full_method,20,1,feature_noise
0.9515151515151515,True,0.03720746264313204,0.45,full_method,20,1,feature_noise
0.9515151515151515,False,0.04562330282095705,0.45,full_method,25,1,feature_noise
0.9515151515151515,True,0.045380878578532804,0.45,full_method,25,1,feature_noise
0.9212121212121213,False,0.03860317035154866,0.35,source_only,5,1,edge_drop
0.9212121212121213,True,0.037391049139427444,0.35,source_only,5,1,edge_drop
0.9212121212121213,False,0.03860304319497311,0.35,source_only,10,1,edge_drop
0.9212121212121213,True,0.03799698258891251,0.35,source_only,10,1,edge_drop
0.9212121212121213,False,0.05141146255261968,0.35,source_only,15,1,edge_drop
0.9212121212121213,True,0.05100742214857927,0.35,source_only,15,1,edge_drop
0.9212121212121213,False,0.041889207290880574,0.35,source_only,20,1,edge_drop
0.9212121212121213,True,0.04158617698785027,0.35,source_only,20,1,edge_drop
