accuracy,dataset,detector_triggered,ece,homophily,intensity,method,nll,seed,shift
0.1746031746031746,cornell,False,0.29022872769608615,0.12274368231046931,0.1,full_method,2.0151559926714815,3,feature_noise
0.40476190476190477,cornell,,0.14362485536640016,0.12274368231046931,0.1,source_only,1.3958329891228713,3,edge_drop
0.4126984126984127,cornell,,0.15784227045054147,0.12274368231046931,0.1,entropy_all_nodes,1.3967636370703025,3,edge_drop
0.3888888888888889,cornell,False,0.14155272025623533,0.12274368231046931,0.1,full_method,1.399708717316144,3,edge_drop
0.40476190476190477,cornell,,0.1443450604928014,0.12274368231046931,0.05,source_only,1.3932711568239977,3,edge_add
0.40476190476190477,cornell,,0.145781964006244,0.12274368231046931,0.05,entropy_all_nodes,1.3935994771688287,3,edge_add
0.40476190476190477,cornell,False,0.1742996422355488,0.12274368231046931,0.05,full_method,1.3956149209879256,3,edge_add
0.5476190476190477,cornell,,0.2504307752919897,0.12274368231046931,0.0,source_only,1.3908188337275973,4,clean
0.5476190476190477,cornell,,0.2418621934688306,0.12274368231046931,0.0,entropy_all_nodes,1.3863158859227298,4,clean
0.5396825396825397,cornell,False,0.2267741338358257,0.12274368231046931,0.0,full_method,1.3863920100391929,4,clean
0.20634920634920634,cornell,,0.502548645617918,0.12274368231046931,0.1,source_only,3.435006140807998,4,feature_noise
0.20634920634920634,cornell,,0.5039176919902102,0.12274368231046931,0.1,entropy_all_nodes,3.447484390831767,4,feature_noise
0.20634920634920634,cornell,False,0.5038864467762852,0.12274368231046931,0.1,full_method,3.4452468500349163,4,feature_noise
0.5317460317460317,cornell,,0.21520740217985665,0.12274368231046931,0.1,source_only,1.3747437791147217,4,edge_drop
0.5317460317460317,cornell,,0.21361067465425712,0.12274368231046931,0.1,entropy_all_nodes,1.369704757904119,4,edge_drop
0.5317460317460317,cornell,False,0.21797487417595693,0.12274368231046931,0.1,full_method,1.3700027516325952,4,edge_drop
0.5158730158730159,cornell,,0.21468153092034553,0.12274368231046931,0.05,source_only,1.3967330897423154,4,edge_add
0.5158730158730159,cornell,,0.21319028841582266,0.12274368231046931,0.05,entropy_all_nodes,1.3920266652192075,4,edge_add
0.5158730158730159,cornell,False,0.20913731597597635,0.12274368231046931,0.05,full_method,1.3918853606119341,4,edge_add
0.4873096446700508,wisconsin,,0.1447918601887606,0.17777777777777778,0.0,source_only,1.2387606466581644,0,clean
0.4873096446700508,wisconsin,,0.1544277950660005,0.17777777777777778,0.0,entropy_all_nodes,1.2354615843203667,0,clean
0.4873096446700508,wisconsin,False,0.15062602950797618,0.17777777777777778,0.0,full_method,1.2359040740384886,0,clean
0.25888324873096447,wisconsin,,0.4305692922298896,0.17777777777777778,0.1,source_only,2.8476513811509294,0,feature_noise
0.25380710659898476,wisconsin,,0.4387463258709391,0.17777777777777778,0.1,entropy_all_nodes,2.871448293465471,0,feature_noise
0.25380710659898476,wisconsin,False,0.43907827897919594,0.17777777777777778,0.1,full_method,2.8793383008713103,0,feature_noise
0.49238578680203043,wisconsin,,0.11899618080087342,0.17777777777777778,0.1,source_only,1.213898442127147,0,edge_drop
0.5076142131979695,wisconsin,,0.13391129574914606,0.17777777777777778,0.1,entropy_all_nodes,1.2109199780639115,0,edge_drop
0.5025380710659898,wisconsin,False,0.1283632946347378,0.17777777777777778,0.1,full_method,1.2107853109609208,0,edge_drop
0.49746192893401014,wisconsin,,0.1574580205600508,0.17777777777777778,0.05,source_only,1.228608066078025,0,edge_add
0.49746192893401014,wisconsin,,0.16256069704626902,0.17777777777777778,0.05,entropy_all_nodes,1.2250688742660483,0,edge_add
0.49746192893401014,wisconsin,False,0.15594750417504233,0.17777777777777778,0.05,full_method,1.2253602656591667,0,edge_add
0.4873096446700508,wisconsin,,0.11565294844476855,0.17777777777777778,0.0,source_only,1.283197098887483,1,clean
0.49238578680203043,wisconsin,,0.1199175828527133,0.17777777777777778,0.0,entropy_all_nodes,1.2814652266670286,1,clean
0.4873096446700508,wisconsin,False,0.1149565167916868,0.17777777777777778,0.0,full_method,1.28228809941904,1,clean
0.3197969543147208,wisconsin,,0.2562655298054134,0.17777777777777778,0.1,source_only,2.133607750979327,1,feature_noise
0.3197969543147208,wisconsin,,0.2573230017259883,0.17777777777777778,0.1,entropy_all_nodes,2.1421950142499724,1,feature_noise
0.3197969543147208,wisconsin,False,0.25956216114106884,0.17777777777777778,0.1,full_method,2.1498303114969617,1,feature_noise
0.4873096446700508,wisconsin,,0.11984895416575092,0.17777777777777778,0.1,source_only,1.2813120834260212,1,edge_drop
0.4873096446700508,wisconsin,,0.11808081897310936,0.17777777777777778,0.1,entropy_all_nodes,1.279618310436608,1,edge_drop
0.4873096446700508,wisconsin,False,0.11925117663819829,0.17777777777777778,0.1,full_method,1.2806579447437325,1,edge_drop
0.48223350253807107,wisconsin,,0.11409263582078877,0.17777777777777778,0.05,source_only,1.279077501179215,1,edge_add
0.4873096446700508,wisconsin,,0.11832880110122657,0.17777777777777778,0.05,entropy_all_nodes,1.2775409432930038,1,edge_add
0.4873096446700508,wisconsin,False,0.11843461684557507,0.17777777777777778,0.05,full_method,1.2784256742662206,1,edge_add
0.3350253807106599,wisconsin,,0.13002142468427777,0.17777777777777778,0.0,source_only,1.4462507898706918,2,clean
0.3350253807106599,wisconsin,,0.13030862504084242,0.17777777777777778,0.0,entropy_all_nodes,1.4455505769723058,2,clean
0.3350253807106599,wisconsin,False,0.13441168100555126,0.17777777777777778,0.0,full_method,1.445254627051551,2,clean
0.2182741116751269,wisconsin,,0.392963769471125,0.17777777777777778,0.1,source_only,2.4266650177936917,2,feature_noise
0.2182741116751269,wisconsin,,0.3987013895747413,0.17777777777777778,0.1,entropy_all_nodes,2.447923459727522,2,feature_noise
0.2131979695431472,wisconsin,False,0.40578389451513186,0.17777777777777778,0.1,full_method,2.455571496863775,2,feature_noise
0.3350253807106599,wisconsin,,0.1386835920560341,0.17777777777777778,0.1,source_only,1.4660379093265867,2,edge_drop
0.3350253807106599,wisconsin,,0.1436848896509143,0.17777777777777778,0.1,entropy_all_nodes,1.4657869679358533,2,edge_drop
0.3401015228426396,wisconsin,False,0.136867867153216,0.17777777777777778,0.1,full_method,1.4656885900584729,2,edge_drop
0.350253807106599,wisconsin,,0.10808339463461204,0.17777777777777778,0.05,source_only,1.448200873534014,2,edge_add
0.350253807106599,wisconsin,,0.10850765596228143,0.17777777777777778,0.05,entropy_all_nodes,1.4475103630757837,2,edge_add
0.350253807106599,wisconsin,False,0.10837132418644847,0.17777777777777778,0.05,full_method,1.44717348264153,2,edge_add
0.30456852791878175,wisconsin,,0.09942271599621053,0.17777777777777778,0.0,source_only,1.3747995450578632,3,clean
0.3096446700507614,wisconsin,,0.10043549590066983,0.17777777777777778,0.0,entropy_all_nodes,1.3755457008801508,3,clean
0.30456852791878175,wisconsin,False,0.08991932399548946,0.17777777777777778,0.0,full_method,1.3762858124858242,3,clean
0.233502538071066,wisconsin,,0.3718448581181416,0.17777777777777778,0.1,source_only,2.1205608991676703,3,feature_noise
0.23857868020304568,wisconsin,,0.38089691409498927,0.17777777777777778,0.1,entropy_all_nodes,2.1512813411632568,3,feature_noise
0.23857868020304568,wisconsin,False,0.37012000659830546,0.17777777777777778,0.1,full_method,2.165038634244749,3,feature_noise
0.3147208121827411,wisconsin,,0.08813260813994932,0.17777777777777778,0.1,source_only,1.3634401636608944,3,edge_drop
0.3147208121827411,wisconsin,,0.08978475991830034,0.17777777777777778,0.1,entropy_all_nodes,1.3643019139005255,3,edge_drop
0.3147208121827411,wisconsin,False,0.09037877864461985,0.17777777777777778,0.1,full_method,1.3651483386715728,3,edge_drop
0.29949238578680204,wisconsin,,0.10598485830366476,0.17777777777777778,0.05,source_only,1.3791317901499587,3,edge_add
0.30456852791878175,wisconsin,,0.08933323865037736,0.17777777777777778,0.05,entropy_all_nodes,1.3797815905238526,3,edge_add
0.29949238578680204,wisconsin,False,0.09478837472398353,0.17777777777777778,0.05,full_method,1.3804067705193026,3,edge_add
0.4213197969543147,wisconsin,,0.15031545025521476,0.17777777777777778,0.0,source_only,1.3593378548822799,4,clean
0.4213197969543147,wisconsin,,0.13899610757159173,0.17777777777777778,0.0,entropy_all_nodes,1.3575716977889356,4,clean
0.4213197969543147,wisconsin,False,0.14419047434269983,0.17777777777777778,0.0,full_method,1.3582040858968711,4,clean
0.23857868020304568,wisconsin,,0.3180246825156174,0.17777777777777778,0.1,source_only,2.2260766588763357,4,feature_noise
0.22842639593908629,wisconsin,,0.3291553665443494,0.17777777777777778,0.1,entropy_all_nodes,2.2394679580312493,4,feature_noise
0.22842639593908629,wisconsin,False,0.3304003775401779,0.17777777777777778,0.1,full_method,2.2452888126499357,4,feature_noise
0.4263959390862944,wisconsin,,0.1253276320211876,0.17777777777777778,0.1,source_only,1.358737181834926,4,edge_drop
0.4263959390862944,wisconsin,,0.14133135390294152,0.17777777777777778,0.1,entropy_all_nodes,1.3570220526322254,4,edge_drop
0.4263959390862944,wisconsin,False,0.1407250913873246,0.17777777777777778,0.1,full_method,1.3577301473686176,4,edge_drop
0.4010152284263959,wisconsin,,0.1390694456848535,0.17777777777777778,0.05,source_only,1.3590961231475627,4,edge_add
0.39593908629441626,wisconsin,,0.12411092106381066,0.17777777777777778,0.05,entropy_all_nodes,1.3574249944284564,4,edge_add
0.39593908629441626,wisconsin,False,0.12436342565573377,0.17777777777777778,0.05,full_method,1.3579441824812064,4,edge_add
