accuracy,brier,dataset,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.607,0.5519792591272237,citeseer,False,0.0473344586091824,0.15,0.5797613152085767,full_method,1.2166682990791728,29.65843459998723,0,edge_drop
0.619,0.546133575756364,citeseer,,0.05996172556212225,0.0,0.593957837904887,source_only,1.1459400339954662,0.0,1,clean
0.618,0.6004633107373363,citeseer,,0.21870107362270597,0.0,0.5939936327041739,tent_full,1.514471807305475,2.394299800042063,1,clean
0.618,0.6003940969877463,citeseer,,0.2160281214418775,0.0,0.5941352954125287,eata_full,1.504147403004915,4.541074199951254,1,clean
0.619,0.5430107711283281,citeseer,,0.07481472047961067,0.0,0.5910893563348115,matcha_full,1.145146283554727,2.5099358999868855,1,clean
0.612,0.7739908046997107,citeseer,,0.3861770214444814,0.0,0.5898894582840811,gtrans_full,3.4475626563730977,14.284041100065224,1,clean
0.62,0.5434943267454435,citeseer,False,0.07498321383570128,0.0,0.5925848371066677,full_method,1.1440660251940775,26.191481899935752,1,clean
0.608,0.5617401426817712,citeseer,,0.07557502387785714,0.15,0.5828176918067419,source_only,1.1782587834504636,0.0,1,edge_drop
0.609,0.6177702218671902,citeseer,,0.22362869709498207,0.15,0.5851291731800015,tent_full,1.5745895700443484,2.2678104999940842,1,edge_drop
0.609,0.6176391764098255,citeseer,,0.22163435172175217,0.15,0.5852021883638101,eata_full,1.5633038900811367,4.1611149000236765,1,edge_drop
0.611,0.5598616314267945,citeseer,,0.07921194035719167,0.15,0.5834709522088334,matcha_full,1.181155401851377,2.3769871999975294,1,edge_drop
0.615,0.7682492935100929,citeseer,,0.3834370845258541,0.15,0.5911700028418964,gtrans_full,3.4707526996010096,14.6119329999201,1,edge_drop
0.613,0.5601581170304333,citeseer,False,0.08315172037772736,0.15,0.5856506915420511,full_method,1.1795850525741693,24.07468700001482,1,edge_drop
0.619,0.5470009322452116,citeseer,,0.07361774785299913,0.0,0.5962569706903383,source_only,1.170496658209393,0.0,2,clean
