accuracy,detector_triggered,ece,intensity,method,nll,seed,shift,step,stream
0.7916666666666666,,0.08502650012572606,0.3,entropy_all_nodes,0.5615230798721313,2,homophily_shift,2,homophily_drift_stream
0.7916666666666666,False,0.07031907017032304,0.3,full_method,0.5604733824729919,2,homophily_shift,2,homophily_drift_stream
0.8,,0.10682705367604892,0.4,source_only,0.5669610500335693,2,homophily_shift,3,homophily_drift_stream
0.7833333333333333,,0.047258292386929204,0.4,entropy_all_nodes,0.5976828336715698,2,homophily_shift,3,homophily_drift_stream
0.775,False,0.07751778860886892,0.4,full_method,0.6050066351890564,2,homophily_shift,3,homophily_drift_stream
0.7,,0.11757097765803337,0.5,source_only,0.7872132658958435,2,homophily_shift,4,homophily_drift_stream
0.6666666666666666,,0.1545227607091268,0.5,entropy_all_nodes,0.8929970860481262,2,homophily_shift,4,homophily_drift_stream
0.6416666666666667,False,0.172036096205314,0.5,full_method,0.9076284766197205,2,homophily_shift,4,homophily_drift_stream
0.95,,0.05137089416384698,0.1,source_only,0.13694950938224792,3,homophily_shift,0,homophily_drift_stream
0.95,,0.05410730664928755,0.1,entropy_all_nodes,0.13255371153354645,3,homophily_shift,0,homophily_drift_stream
0.95,False,0.05675973022977512,0.1,full_method,0.13312967121601105,3,homophily_shift,0,homophily_drift_stream
0.8833333333333333,,0.037525251507759094,0.2,source_only,0.29355451464653015,3,homophily_shift,1,homophily_drift_stream
0.8833333333333333,,0.04506547848383585,0.2,entropy_all_nodes,0.2864655554294586,3,homophily_shift,1,homophily_drift_stream
0.8833333333333333,False,0.05798517043391864,0.2,full_method,0.28684693574905396,3,homophily_shift,1,homophily_drift_stream
0.8333333333333334,,0.09516808589299519,0.3,source_only,0.44964519143104553,3,homophily_shift,2,homophily_drift_stream
0.85,,0.07071379149953526,0.3,entropy_all_nodes,0.43014276027679443,3,homophily_shift,2,homophily_drift_stream
0.8416666666666667,False,0.11113941098252933,0.3,full_method,0.4341200292110443,3,homophily_shift,2,homophily_drift_stream
0.75,,0.09609209274252253,0.4,source_only,0.6065698266029358,3,homophily_shift,3,homophily_drift_stream
0.7416666666666667,,0.0816518408556779,0.4,entropy_all_nodes,0.6019923090934753,3,homophily_shift,3,homophily_drift_stream
0.7833333333333333,False,0.10747126713395116,0.4,full_method,0.6171181797981262,3,homophily_shift,3,homophily_drift_stream
0.6833333333333333,,0.07953391472498575,0.5,source_only,0.7262752652168274,3,homophily_shift,4,homophily_drift_stream
0.6666666666666666,,0.09123190864920619,0.5,entropy_all_nodes,0.7567738890647888,3,homophily_shift,4,homophily_drift_stream
0.65,False,0.13703445668021838,0.5,full_method,0.8335811495780945,3,homophily_shift,4,homophily_drift_stream
0.9,,0.04630353897809983,0.1,source_only,0.22446411848068237,4,homophily_shift,0,homophily_drift_stream
0.9,,0.03663599317272505,0.1,entropy_all_nodes,0.21842071413993835,4,homophily_shift,0,homophily_drift_stream
0.9083333333333333,False,0.0454887089629968,0.1,full_method,0.22041161358356476,4,homophily_shift,0,homophily_drift_stream
0.7833333333333333,,0.08354845866560938,0.2,source_only,0.48903000354766846,4,homophily_shift,1,homophily_drift_stream
0.7916666666666666,,0.08235448499520619,0.2,entropy_all_nodes,0.4776562452316284,4,homophily_shift,1,homophily_drift_stream
0.7833333333333333,False,0.09330250297983488,0.2,full_method,0.4854951798915863,4,homophily_shift,1,homophily_drift_stream
0.6833333333333333,,0.13470142136017482,0.3,source_only,0.6686121821403503,4,homophily_shift,2,homophily_drift_stream
0.6833333333333333,,0.14291960497697193,0.3,entropy_all_nodes,0.6793177127838135,4,homophily_shift,2,homophily_drift_stream
0.675,False,0.1549425644179185,0.3,full_method,0.70001220703125,4,homophily_shift,2,homophily_drift_stream
0.625,,0.18728885799646375,0.4,source_only,0.8870910406112671,4,homophily_shift,3,homophily_drift_stream
0.6166666666666667,,0.21206203574935595,0.4,entropy_all_nodes,0.936080276966095,4,homophily_shift,3,homophily_drift_stream
0.6333333333333333,False,0.2432903299729029,0.4,full_method,0.9986520409584045,4,homophily_shift,3,homophily_drift_stream
0.5666666666666667,,0.20591472536325456,0.5,source_only,0.9901071190834045,4,homophily_shift,4,homophily_drift_stream
0.5916666666666667,,0.2291741582254569,0.5,entropy_all_nodes,1.0938392877578735,4,homophily_shift,4,homophily_drift_stream
0.5583333333333333,False,0.2509606535236041,0.5,full_method,1.2447888851165771,4,homophily_shift,4,homophily_drift_stream
