dataset,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
cornell,clean,0.0,full_method,2,0.21505376344086022,0.010752688172043001,0.11545184936489283,0.017356611269654758,1.60839166961317,1.228021894028597e-05,0.011671329895179702,0.009766853600607653,0.799576782806827,1.4905964256795023e-06,0.01794155000243336,0.0035766499931924045,5.0,0.0,0.4332944643949441,0.007415976986107631,0.3989071038251366,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,source_only,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083688796903906,5.0084642803538415e-05,0.006308414620463471,0.004501390185074811,0.7995669882294127,2.7703757817243435e-05,2.7000060072168708e-06,1.1999945854768157e-06,0.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,entropy_all_nodes,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083683028678815,4.9853166424473905e-05,0.006314915978704969,0.00448777166058649,0.7995667405061861,2.7637715901085436e-05,0.002973900001961738,0.0008910000033210963,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,tent_entropy,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.608368302292817,4.985293346682074e-05,0.006314922483586977,0.00448775803496157,0.7995667402591518,2.7637649293810185e-05,0.0016987499984679744,0.0004615500074578449,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,eata_filter,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083681318279293,4.991213225147284e-05,0.006315378165551583,0.004487128426616527,0.7995666710315913,2.7663402798916437e-05,0.01870399998733774,0.0018509000074118376,5.0,0.0,0.3043715846994536,0.008196721311475419,0.3043715846994536,0.008196721311475419,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,graph_tta_consistency,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083686030883073,4.994177316930415e-05,0.006315563122307813,0.0044888848456717395,0.799566862709795,2.7669430736176892e-05,0.025223200005711988,0.0010066000104416162,5.0,0.0,0.43064575613957073,0.009132512862109865,0.3989071038251366,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,matcha_reliable,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083683222664535,4.984400054552918e-05,0.006315773526899812,0.004486704135876665,0.7995667475941748,2.7634796287034913e-05,0.019213649997254834,0.0001569500018376857,5.0,0.0,0.5027322404371585,0.0,0.5027322404371585,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,reliable_entropy,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083683055792926,4.984014633191425e-05,0.006315309866628274,0.00448712167017172,0.7995667413666153,2.763300833874549e-05,0.018850700012990274,0.0005309000116540119,5.0,0.0,0.4306456762814619,0.009132551763721575,0.3989071038251366,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,no_neighborhood_agreement,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083682165997741,4.983329790986257e-05,0.006315574926605311,0.004486176129324587,0.7995667041701171,2.7632808004052212e-05,0.011239600004046224,0.0003809000045293942,5.0,0.0,0.446290616104392,0.0005738202481034571,0.3989071038251366,0.0,183.0,0.0,1460.0,36.0
cornell,feature_noise,0.1,no_structural_stability,2,0.20967741935483872,0.005376344086021501,0.1142359334935006,0.01744728524854168,1.6083683055792957,4.984014630260436e-05,0.006315309866731317,0.004487121670023075,0.7995667413666173,2.763300832719917e-05,0.011974300010479055,0.00023879999935161322,5.0,0.0,0.43064558350786997,0.0091326655214371,0.3989071038251366,0.0,183.0,0.0,1460.0,36.0
